season,first_name,last_name,jersey,position,games_played,points,total_goals,1pt_goals,2pt_goals,scoring_points,assists,shots,shot_pct,shots_on_goal,sog_pct,2pt_shots,2pt_shot_pct,2pt_shots_on_goal,groundballs,turnovers,caused_turnovers,faceoffs,faceoff_wins,faceoff_losses,faceoff_pct,saves,save_pct,scores_against,scores_against_average,2pt_goals_against,2pt_gaa,time_on_field,total_penalties,penalty_minutes,power_play_goals,power_play_shots,short_handed_goals,short_handed_shots,short_handed_goals_against,power_play_goals_against
2021,Jake,Bernhardt,83.0,SSDM,9,1,1,1,0,1,0,5,0.2,2,0.4,3,0.0,1,7,1,5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,4,3.5,0,0,0,0,,0
2021,Jack,Rapine,9.0,D,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Brodie,Merrill,17.0,D,9,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,40,5,13,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,2.0,0,0,0,0,,0
2021,Scott,Hooper,20.0,D,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Ryan,Drenner,22.0,A,9,21,18,18,0,18,3,47,0.3829787234042553,33,0.7021276595744681,2,0.0,1,12,6,5,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,1,2,0,1,,0
2021,Tim,Edwards,23.0,M,5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,10,1,0,8,2,6,0.25,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Sam,Duggan,29.0,SSDM,5,1,0,0,0,0,1,1,0.0,1,1.0,0,0.0,0,5,2,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,0,0,0,0,,0
2021,Christian,Cuccinello,30.0,A,6,2,0,0,0,0,2,10,0.0,6,0.6,0,0.0,0,2,4,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
2021,Shayne,Jackson,32.0,A,5,13,10,10,0,10,3,27,0.3703703703703703,23,0.8518518518518519,0,0.0,0,6,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,,0
2021,Connor,Buczek,33.0,M,4,6,4,4,0,4,2,17,0.2352941176470588,13,0.7647058823529411,6,0.0,5,5,6,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,0,,0
2021,Jack,Kielty,40.0,D,9,0,0,0,0,0,0,1,0.0,1,1.0,1,0.0,1,15,1,6,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,,0
