First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Matt,DeLuca,1,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,32,0.542372881355932,27,10.062111801242237,0,0,7728,0,0,0,0,0,0,,2
Alexander,Smith,39,SSDM,3,1,0,0,0,0,1,1,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Chris,Gray,4,A,3,10,6,5,1,7,3,25,0.24,15,0.6,2,0.5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Arden,Cohen,40,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Moore,11,M,3,5,3,3,0,3,2,19,0.15789473684210525,14,0.7368421052631579,3,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Koby,Smith,0,LSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bubba,Fairman,2,SSDM,3,1,0,0,0,0,1,1,0,1,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Brett,Dobson,45,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,46,0.58974358974359,34,11.376786336702683,2,0.669222725688392,8607,1,1,0,0,0,0,,3
Brendan,Curry,16,M,3,4,4,4,0,4,0,7,0.5714285714285714,4,0.5714285714285714,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Wheaton,Jackoboice,15,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dillon,Ward,37,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,8,21.55285313376988,1,2.69410664172123,1069,0,0,0,0,0,0,,0
Connor,Kelly,40,M,3,14,9,5,4,13,1,23,0.391304347826087,13,0.5652173913043478,11,0.36363636363636365,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Zed,Williams,36,A,2,5,4,4,0,4,1,14,0.2857142857142857,9,0.6428571428571429,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Colin,Squires,39,LSM,3,3,1,0,1,2,1,2,0.5,1,0.5,2,0.5,1,2,0,2,8,2,6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Colin,Kirst,5,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,16,0.5,16,13.102075632641455,0,0,3517,0,0,0,0,0,0,,1
Owen,McElroy,24,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,,0
Jackson,Reid,29,A,2,0,0,0,0,0,0,4,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jon,Robbins,41,LSM,3,1,1,1,0,1,0,2,0.5,1,0.5,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Aughavin,42,M,1,0,0,0,0,0,0,3,0,1,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Colin,Hinton,2,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kevin,Lindley,33,A,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
John,Geppert,7,LSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Lee,45,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
John,Sexton,46,LSM,3,2,1,1,0,1,1,3,0.3333333333333333,1,0.3333333333333333,1,0,0,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryder,Garnsey,50,A,3,16,14,14,0,14,2,23,0.6086956521739131,16,0.6956521739130435,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Garrett,Epple,52,D,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Kelly,94,G,3,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1,2,0,0,0,0,41,0.532467532467532,39,12.999999999999998,3,1,8640,0,0,0,0,0,0,,1
Tim,Troutner,0,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kieran,McArdle,6,A,3,7,4,4,0,4,3,20,0.2,12,0.6,1,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Justin,Guterding,14,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Borda,2,M,2,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jeff,Conner,4,M,1,2,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Traynor,5,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Grayson,Sallade,32,SSDM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben,Randall,44,D,3,0,0,0,0,0,0,1,0,1,1,1,0,1,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Christian,Scarpello,50,SSDM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
