First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Ryan,Ambler,13,M,10,15,13,13,0,13,2,46,0.2826086956521739,27,0.5869565217391305,1,0,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,,0
Grant,Ament,16,A,5,16,4,3,1,5,11,20,0.2,13,0.65,2,0.5,2,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Mark,McNeill,21,SSDM,9,1,0,0,0,0,1,0,0,0,0,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Latrell,Harris,22,SSDM,10,2,2,2,0,2,0,3,0.6666666666666666,2,0.6666666666666666,0,0,0,18,3,4,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,,0
Dominique,Alexander,23,SSDM,9,2,1,1,0,1,1,1,1,1,1,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,,0
Michael,Rexrode,22,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Ryland,Rees,17,LSM,9,6,3,1,2,5,1,11,0.2727272727272727,7,0.6363636363636364,10,0.2,6,17,3,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Jake,Withers,18,FO,6,1,1,1,0,1,0,3,0.3333333333333333,1,0.3333333333333333,0,0,0,28,2,2,147,69,76,0.46938775510204084,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Liam,Byrnes,21,D,10,0,0,0,0,0,0,4,0,1,0.25,1,0,0,27,7,15,0,0,0,0,0,0,0,0,0,0,0,3,1.5,0,0,0,0,,0
Michael,Sowers,22,A,9,32,21,21,0,21,11,59,0.3559322033898305,41,0.6949152542372882,2,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,,0
Eli,Gobrecht,25,D,10,2,1,1,0,1,1,2,0.5,1,0.5,1,0,0,20,1,7,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Kyle,Bernlohr,35,G,10,0,0,0,0,0,0,2,0,1,0.5,2,0,1,25,4,5,0,0,0,0,125,0.581395348837209,98,9.703971119133573,8,0.792160907684374,29085,0,0,0,0,0,0,,5
Jake,Carraway,19,A,2,1,1,1,0,1,0,8,0.125,5,0.625,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Christian,Scarpello,50,SSDM,6,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ethan,Walker,57,A,9,13,9,9,0,9,4,30,0.3,16,0.5333333333333333,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Mikie,Schlosser,59,M,6,5,4,3,1,5,0,18,0.2222222222222222,12,0.6666666666666666,2,0.5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Currier,77,M,10,19,11,11,0,11,8,28,0.39285714285714285,15,0.5357142857142857,2,0,0,53,17,6,31,3,28,0.0967741935483871,0,0,0,0,0,0,0,3,2.5,0,1,0,0,,0
Tim,Muller,14,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brad,Smith,27,M,10,22,13,12,1,14,8,57,0.22807017543859648,38,0.6666666666666666,4,0.25,2,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,,0
Steven,DeNapoli,7,SSDM,4,3,3,3,0,3,0,4,0.75,4,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bryan,Costabile,26,M,10,20,11,10,1,12,8,65,0.16923076923076924,39,0.6,10,0.1,6,17,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,,0
Tucker,Durkin,51,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Tim,Edwards,23,SSDM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Drenner,22,M,10,20,17,17,0,17,3,51,0.3333333333333333,34,0.6666666666666666,3,0,1,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Jack,Kielty,40,D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Jack,Concannon,12,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,2,0,0,0,0,125,0.548245614035088,112,11.75981625287105,9,0.944985234605708,27429,1,1,0,0,0,0,,8
Peter,Dearth,54,SSDM,9,3,1,1,0,1,2,5,0.2,4,0.8,0,0,0,9,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Zach,Goodrich,14,SSDM,10,1,1,1,0,1,0,6,0.16666666666666666,3,0.5,1,0,1,9,2,6,0,0,0,0,0,0,0,0,0,0,0,5,3.5,0,0,0,0,,0
Brodie,Merrill,17,LSM,6,1,0,0,0,0,1,0,0,0,0,0,0,0,15,3,6,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Jeff,Teat,7,A,10,38,22,22,0,22,16,52,0.4230769230769231,36,0.6923076923076923,0,0,0,15,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,,0
Trevor,Baptiste,9,FO,9,10,5,4,1,6,4,18,0.2777777777777778,11,0.6111111111111112,1,1,1,83,4,1,219,153,66,0.6986301369863014,0,0,0,0,0,0,0,5,2.5,0,0,0,0,,0
JD,Colarusso,11,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0.538461538461538,7,13.26315789473684,1,1.89473684210526,1520,0,0,0,0,0,0,,1
Eric,Law,15,A,10,29,18,18,0,18,11,33,0.5454545454545454,27,0.8181818181818182,0,0,0,11,23,0,0,0,0,0,0,0,0,0,0,0,0,3,2.5,2,4,0,0,,0
Jake,Richard,27,SSDM,10,2,1,1,0,1,1,4,0.25,4,1,2,0,2,9,3,7,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,,0
